fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6,White
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,White
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7,White
10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6,Red
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7,Red
6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,7,White
7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6,White
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,Red
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,Red
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8,White
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8,Red
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7,White
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5,White
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,White
7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6,White
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6,White
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5,Red
6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,6,White
6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6,White
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6,White
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3,Red
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,White
6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,7,White
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6,White
7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,6,White
7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5,White
7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,6,White
7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6,Red
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,White
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5,Red
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,Red
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,White
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6,Red
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5,White
7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5,Red
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7,Red
5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,7,White
7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6,White
5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,6,White
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,Red
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,White
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5,White
6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7,White
5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,7,White
6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13,6,White
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5,White
7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6,White
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6,White
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5,Red
5.8,0.13,0.26,5.1,0.039,19,103,0.99478,3.36,0.47,9.3,6,White
7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6,White
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7,White
6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6,White
7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5,Red
6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6,White
6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5,White
7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6,Red
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6,White
6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7,White
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,Red
7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,6,White
6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6,White
5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8,White
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5,Red
7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5,Red
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,White
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5,White
6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,5,White
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6,Red
7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6,Red
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7,White
7.2,0.27,0.31,1.2,0.031,27,80,0.98892,3.03,0.33,12.7,6,White
7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,6,White
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,White
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6,White
7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,6,White
7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,Red
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6,Red
7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6,White
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5,White
7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5,White
6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,6,White
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,White
6.3,0.37,0.37,1.5,0.024,12,76,0.98876,2.94,0.39,12.3,6,White
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5,White
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5,Red
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,White
6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7,White
7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5,Red
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,Red
7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5,White
5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,8,White
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6,White
7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6,White
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8,White
8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6,White
6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,5,White
6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6,White
6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,5,White
5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,6,White
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,Red
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6,White
7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,5,White
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5,White
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5,White
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,White
5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,6,White
8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2,7,White
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,Red
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5,Red
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,White
7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6,White
6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4,White
6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5,White
6.4,0.28,0.28,3,0.04,19,98,0.99216,3.25,0.47,11.1,6,White
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,Red
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6,White
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5,White
6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5,White
6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6,White
7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7,White
5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,White
7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,6,Red
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6,White
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,White
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,White
7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5,White
7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7,White
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,White
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6,Red
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,Red
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7,White
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3,Red
6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,6,White
5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,Red
7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6,White
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6,Red
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3,Red
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,Red
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6,White
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.9333333333333,6,White
7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,8,White
6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,6,White
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,White
10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,5,Red
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,Red
4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,8,White
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6,White
8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5,Red
7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6,Red
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,White
6.8,0.23,0.39,16.1,0.053,71,194,0.9988,3.18,0.64,10.2,6,White
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6,White
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,Red
7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2,7,White
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,White
5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,6,White
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5,White
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6,White
6.2,0.2,0.28,1.1,0.039,24,78,0.9899,3.36,0.47,12.1,6,White
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,White
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,Red
6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5,White
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,White
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4,White
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,Red
7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7,White
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7,White
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,Red
8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7,White
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,Red
7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5,Red
6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6,White
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6,White
7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7,White
7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5,White
5.8,0.3,0.33,3.5,0.033,25,116,0.99057,3.2,0.44,11.7,6,White
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,White
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7,White
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,Red
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7,White
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7,White
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,Red
6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,6,Red
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,White
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6,White
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7,White
7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7,White
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6,White
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,Red
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6,Red
6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,6,White
7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9,5,White
7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6,White
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,Red
6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,5,White
6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,6,White
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,6,White
8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4,White
6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3,0.37,12.3,6,White
8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,4,White
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6,Red
6.7,0.23,0.33,1.8,0.036,23,96,0.9925,3.32,0.4,10.8,6,White
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6,White
8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6,White
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6,White
7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6,Red
8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,5,White
7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6,White
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5,White
9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7,Red
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5,White
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,White
7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,8,White
6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6,White
6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6,White
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6,White
5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,6,White
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,Red
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5,Red
6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,7,White
8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5,White
5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,8,White
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,Red
6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,6,White
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6,White
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4,White
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,Red
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,White
6.6,0.13,0.29,13.9,0.056,33,95,0.99702,3.17,0.39,9.4,6,White
6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6,White
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5,Red
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6,White
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7,Red
7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6,White
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,White
9.6,0.29,0.46,1.45,0.039,77.5,223,0.9944,2.92,0.46,9.5,6,White
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6,White
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5,White
6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6,White
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,Red
6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6,White
8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5,White
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6,Red
7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7,White
7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5,Red
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,Red
6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5,White
8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6,White
5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6,White
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5,White
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5,White
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,Red
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7,White
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,Red
8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6,Red
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5,White
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6,White
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,Red
8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5,Red
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5,White
7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6,White
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5,White
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5,Red
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,Red
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,White
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,Red
5.8,0.3,0.23,1.5,0.034,37,121,0.98871,2.96,0.34,12.1,6,White
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,White
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,Red
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6,White
6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,6,White
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,White
7.1,0.36,0.2,1.6,0.271,24,140,0.99356,3.11,0.63,9.8,5,White
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,5,White
6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6,White
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,Red
6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7,White
5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6,White
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5,White
7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,3,White
6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7,White
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5,White
6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,7,White
6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6,White
6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6,White
5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7,White
6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,6,White
7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6,White
7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6,White
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,White
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5,White
6.7,0.28,0.31,7.4,0.041,7,81,0.99254,3.04,0.47,11.4,8,White
7.1,0.23,0.23,3.5,0.038,23,112,0.99157,3.05,0.37,11.3666666666667,6,White
6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5,White
6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,6,White
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,Red
6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,6,White
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,White
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5,White
7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,4,White
6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,6,White
9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4,Red
7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6,White
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5,White
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,White
8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6,White
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5,White
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,Red
7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5,White
6.3,0.27,0.46,11.1,0.053,44,177,0.99691,3.18,0.67,9.4,5,White
7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,3,White
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7,White
